group_id,mode,avg_keys_checked,avg_checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_check_ns,avg_checks_before_if,avg_checks_after_if,avg_total_decaps_time_ns
1,Classic,2.00,1.62,6462191.52,12866058.93,15351251.43,1.62,1.00,36220871.36
2,Classic,6.00,3.32,6424369.84,12747177.35,11961640.82,3.32,1.00,46857809.02
3,Classic,8.00,4.19,6443540.41,12788890.40,11171286.75,4.19,1.00,52650658.85
4,Classic,32.00,16.59,6398746.87,12716535.15,7996993.79,16.59,1.00,131762217.15
5,Classic,48.00,26.00,6431163.12,12739548.36,7564873.83,26.00,1.00,192526823.62
6,Classic,56.00,27.46,6408500.80,12743183.12,7559809.56,27.46,1.00,201293922.17
7,Classic,250.00,116.26,6393994.58,12689597.99,6628909.71,116.26,1.00,769369592.83
8,Classic,400.00,200.31,6419622.29,12744256.98,6605656.06,200.31,1.00,1312693088.92
9,Classic,490.00,229.92,6448464.75,12749085.93,6591228.61,229.92,1.00,1507803997.82
10,Classic,544.00,250.12,6425349.41,12702205.13,6543702.01,250.12,1.00,1630697661.81
11,Hybridized,1.00,1.00,8072581.03,12705296.41,20779063.49,1.00,1.00,33834711.88
12,Hybridized,5.00,3.22,8096424.04,12716807.71,13556394.34,3.22,1.00,51734204.00
13,Hybridized,7.00,3.83,8179605.48,12754413.26,12804898.72,3.83,1.00,57114679.96
14,Hybridized,31.00,17.18,8076207.81,12698760.38,9485537.86,17.18,1.00,164324275.01
15,Hybridized,47.00,22.16,8171069.77,13004899.78,9464312.68,22.16,1.00,206424177.12
16,Hybridized,55.00,29.63,8117324.56,12841088.26,8999149.55,29.63,1.00,266168281.33
17,Hybridized,249.00,123.02,8026552.82,12711491.91,8366040.30,123.02,1.00,1011727763.02
18,Hybridized,399.00,196.26,8001603.19,12672406.97,8322785.77,196.26,1.00,1595213903.31
19,Hybridized,489.00,265.61,8035785.10,12776246.66,8257892.95,265.61,1.00,2160250393.53
20,Hybridized,543.00,273.64,7979207.93,12638261.91,8118426.31,273.64,1.00,2207979024.24
