group_id,mode,avg_keys_checked,avg_checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_check_ns,avg_checks_before_if,avg_checks_after_if,avg_total_decaps_time_ns
1,Classic,2.00,1.00,6639543.00,13986468.00,20627273.00,1.00,1.00,34195744.00
2,Classic,6.00,2.00,6572512.50,13147780.00,13147151.50,2.00,1.00,39403610.00
3,Classic,8.00,5.00,7669999.40,13327186.00,10336096.20,5.00,1.00,64782632.00
4,Classic,32.00,6.00,6616979.00,13087066.00,8798662.67,6.00,1.00,65931046.00
5,Classic,48.00,9.00,6757151.22,13306318.00,8236220.11,9.00,1.00,87574867.00
6,Classic,56.00,12.00,6586273.42,13481711.00,7710195.33,12.00,1.00,105671550.00
7,Classic,250.00,37.00,6502278.16,12843486.00,6849661.76,37.00,1.00,266599968.00
8,Classic,400.00,337.00,6566738.33,12836420.00,6605132.88,337.00,1.00,2239247819.00
9,Classic,490.00,467.00,6612132.62,13120039.00,6640522.43,467.00,1.00,3115505801.00
10,Classic,544.00,342.00,6686076.94,13019181.00,6724487.08,342.00,1.00,2313834903.00
11,Classic,2592.00,1697.00,6573142.26,12800208.00,6580997.53,1697.00,1.00,11183624073.00
12,Classic,4320.00,1804.00,6691759.29,13207978.00,6699454.94,1804.00,1.00,12102158657.00
13,Classic,5472.00,1231.00,6628348.45,12664726.00,6638945.12,1231.00,1.00,8188463737.00
14,Classic,6240.00,4471.00,6574931.28,13158818.00,6578161.82,4471.00,1.00,29430984924.00
15,Classic,6752.00,1442.00,6604483.88,12800092.00,6613665.59,1442.00,1.00,9554055392.00
16,Classic,33614.00,33604.00,6578104.28,13179544.00,6578798.51,33604.00,1.00,221134731462.00
17,Classic,57624.00,37700.00,6562564.59,12903190.00,6563207.09,37700.00,1.00,247507918128.00
18,Classic,74774.00,14951.00,6572120.47,13385555.00,6573312.85,14951.00,1.00,98332078584.00
19,Classic,87024.00,66951.00,6575048.44,13427157.00,6575543.00,66951.00,1.00,440354013339.00
20,Classic,95774.00,56767.00,6601988.24,13105377.00,6602498.61,56767.00,1.00,374915397847.00
21,Classic,102024.00,21463.00,6627566.94,13685612.00,6628525.61,21463.00,1.00,142340128421.00
22,Hybridized,1.00,1.00,9158808.00,14058609.00,23218832.00,1.00,1.00,36529802.00
23,Hybridized,5.00,2.00,9074631.50,13632557.00,15891940.50,2.00,1.00,45018149.00
24,Hybridized,7.00,7.00,8561779.86,13040559.00,10425247.86,7.00,1.00,86967170.00
25,Hybridized,31.00,18.00,8472911.22,13507706.00,9223786.33,18.00,1.00,179224307.00
26,Hybridized,47.00,31.00,8527235.81,13053896.00,8948756.39,31.00,1.00,290849473.00
27,Hybridized,55.00,6.00,8680172.17,14853738.00,11156424.17,6.00,1.00,80521694.00
28,Hybridized,249.00,50.00,8552132.92,12893047.00,8810465.52,50.00,1.00,453931251.00
29,Hybridized,399.00,56.00,8456884.09,13751932.00,8702833.70,56.00,1.00,500933027.00
30,Hybridized,489.00,113.00,8367021.75,13228718.00,8484462.80,113.00,1.00,972297110.00
31,Hybridized,543.00,395.00,8410070.21,13066107.00,8443496.44,395.00,1.00,3349270401.00
32,Hybridized,2591.00,670.00,8211248.82,13024176.00,8230973.97,670.00,1.00,5529633483.00
33,Hybridized,4319.00,4192.00,8199202.12,12818876.00,8202555.15,4192.00,1.00,34405262766.00
34,Hybridized,5471.00,5132.00,8237977.08,13278026.00,8240862.46,5132.00,1.00,42314213615.00
35,Hybridized,6239.00,468.00,8361811.56,12837316.00,8389558.25,468.00,1.00,3942261441.00
36,Hybridized,6751.00,4891.00,8244961.99,13130626.00,8247946.47,4891.00,1.00,40363269055.00
37,Hybridized,33613.00,30039.00,8210676.39,12793574.00,8211420.35,30039.00,1.00,246732970982.00
38,Hybridized,57623.00,54787.00,8249685.17,13070605.00,8250232.23,54787.00,1.00,452120199090.00
39,Hybridized,74773.00,53886.00,8236993.29,13964682.00,8237563.54,53886.00,1.00,444010147581.00
40,Hybridized,87023.00,1225.00,8165179.79,15298335.00,8177961.30,1225.00,1.00,10062847898.00
41,Hybridized,95773.00,76856.00,8241462.41,13144118.00,8241952.18,76856.00,1.00,633600418813.00
42,Hybridized,102023.00,98983.00,8249367.55,12943792.00,8249843.43,98983.00,1.00,816790806222.00
