group_id,mode,avg_keys_checked,avg_checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_check_ns,avg_checks_before_if,avg_checks_after_if,avg_total_decaps_time_ns
1,Classic,2.00,2.00,6242454.00,12409814.00,12448175.50,2.00,1.00,37521425.00
2,Classic,6.00,4.00,6392071.75,12605378.00,9544093.50,4.00,1.00,51569123.00
3,Classic,4.00,4.00,7358615.50,12323293.00,10440313.75,4.00,1.00,54784659.00
4,Classic,32.00,1.00,7535376.00,12412326.00,19949426.00,1.00,1.00,33594222.00
5,Classic,16.00,14.00,6284443.21,12533583.00,7180102.29,14.00,1.00,113704529.00
6,Classic,8.00,7.00,6308897.43,12321998.00,8069952.29,7.00,1.00,69047399.00
7,Classic,250.00,25.00,6335159.96,12296393.00,6827466.08,25.00,1.00,184572336.00
8,Classic,100.00,25.00,6293968.52,12392467.00,6790023.56,25.00,1.00,182466734.00
9,Classic,40.00,25.00,6589790.64,12372510.00,7088171.44,25.00,1.00,189930026.00
10,Classic,16.00,7.00,6296821.71,12768011.00,8121245.00,7.00,1.00,69443171.00
11,Classic,2592.00,928.00,6409074.96,13262844.00,6423986.09,928.00,1.00,5975969407.00
12,Classic,864.00,368.00,6450627.11,12915075.00,6486151.77,368.00,1.00,2400346876.00
13,Classic,288.00,78.00,6394694.29,12469292.00,6554786.04,78.00,1.00,524124958.00
14,Classic,96.00,28.00,6439740.82,12615573.00,6890783.75,28.00,1.00,207070329.00
15,Classic,32.00,20.00,6383844.40,12445675.00,7006552.70,20.00,1.00,152798127.00
16,Classic,33614.00,4258.00,6476917.46,12988650.00,6480295.95,4258.00,1.00,27620854434.00
17,Classic,9604.00,9247.00,6539859.40,12789555.00,6541677.41,9247.00,1.00,60518735306.00
18,Classic,2744.00,2054.00,6456902.46,12681917.00,6463434.87,2054.00,1.00,13292056668.00
19,Classic,784.00,170.00,6483330.45,12864190.00,6559453.02,170.00,1.00,1128430352.00
20,Classic,224.00,41.00,6445053.39,12683835.00,6754758.27,41.00,1.00,289993841.00
21,Classic,64.00,48.00,6446130.52,12935937.00,6716045.77,48.00,1.00,335263596.00
22,Hybridized,1.00,1.00,8225755.00,12709085.00,20935652.00,1.00,1.00,33864568.00
23,Hybridized,5.00,1.00,8298228.00,12732461.00,21032080.00,1.00,1.00,33922732.00
24,Hybridized,3.00,3.00,7989848.33,12641958.00,12204420.67,3.00,1.00,49794641.00
25,Hybridized,31.00,11.00,8072693.45,13027921.00,9257513.36,11.00,1.00,114937985.00
26,Hybridized,15.00,15.00,8077122.53,12850454.00,8934310.20,15.00,1.00,147027248.00
27,Hybridized,7.00,3.00,7970407.33,12672471.00,12194974.33,3.00,1.00,49465432.00
28,Hybridized,249.00,181.00,8040549.41,12591936.00,8110470.46,181.00,1.00,1481611977.00
29,Hybridized,99.00,26.00,8002892.27,12641195.00,8489436.92,26.00,1.00,233840491.00
30,Hybridized,39.00,26.00,8138857.81,12730112.00,8628821.77,26.00,1.00,237528215.00
31,Hybridized,15.00,4.00,7916580.75,12700428.00,11092248.50,4.00,1.00,57064226.00
32,Hybridized,2591.00,133.00,8087188.71,12971580.00,8185144.52,133.00,1.00,1102623478.00
33,Hybridized,863.00,82.00,8058672.59,12618380.00,8212911.84,82.00,1.00,687008499.00
34,Hybridized,287.00,267.00,7993026.69,12835304.00,8041485.30,267.00,1.00,2160265039.00
35,Hybridized,95.00,76.00,7984709.30,12542538.00,8150092.38,76.00,1.00,632806875.00
36,Hybridized,31.00,29.00,7962815.28,12626559.00,8398583.17,29.00,1.00,256568814.00
37,Hybridized,33613.00,21121.00,8128565.63,12545243.00,8129554.39,21121.00,1.00,171768177861.00
38,Hybridized,9603.00,3764.00,8114537.38,12794955.00,8118371.03,3764.00,1.00,30579862392.00
39,Hybridized,2743.00,2541.00,8090232.52,12622373.00,8095622.72,2541.00,1.00,20590331987.00
40,Hybridized,783.00,197.00,8076364.21,13308050.00,8144377.51,197.00,1.00,1618029704.00
41,Hybridized,223.00,219.00,8062206.47,12949297.00,8121780.98,219.00,1.00,1791928258.00
42,Hybridized,63.00,25.00,7980202.80,12760590.00,8491109.68,25.00,1.00,225300527.00
