mode,keys_checked,checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_ns,checks_before_if,checks_after_if, total_decaps_time
Classic,2,1,6426336.00,12811590.00,19239812.00,1,1,32340336.00
Classic,2,2,6792955.00,13793802.00,13691072.00,2,1,40092505.00
Classic,2,2,6600169.00,12617126.00,12909929.00,2,1,38499411.00
Classic,2,2,6314757.50,12951060.00,12791017.00,2,1,38433948.00
Classic,2,2,6518377.50,13129080.00,13083986.50,2,1,39471071.00
Classic,2,2,6456458.50,13706790.00,13310785.00,2,1,40307657.00
Classic,2,1,6226297.00,12460729.00,18688336.00,1,1,31493742.00
Classic,2,2,6412676.00,12624827.00,12726115.00,2,1,38148108.00
Classic,2,2,6547846.50,13071385.00,13084690.00,2,1,38936387.00
Classic,2,2,6794199.00,12661015.00,13125643.00,2,1,39124065.00
Classic,2,2,6877684.00,12647819.00,13202614.00,2,1,39369964.00
Classic,2,2,6474339.50,12537319.00,12743933.50,2,1,38200875.00
Classic,2,2,6241498.50,12351691.00,12417978.00,2,1,37634380.00
Classic,2,2,6483323.00,12887757.00,12928026.50,2,1,38380539.00
Classic,2,2,6645797.50,13137652.00,13216186.00,2,1,38947010.00
Classic,2,2,6391793.00,12914732.00,12850328.50,2,1,38621507.00
Classic,2,2,6343865.50,12599047.00,12644893.50,2,1,37902085.00
Classic,2,2,6649424.50,12473635.00,12887333.00,2,1,38524304.00
Classic,2,2,6354453.00,12792095.00,12751211.00,2,1,38549677.00
Classic,2,2,6350642.50,12652192.00,12677548.50,2,1,38250537.00
Classic,2,2,6547248.50,12860230.00,12978594.00,2,1,38490372.00
Classic,2,1,6343858.00,13384426.00,19729284.00,1,1,32960893.00
Classic,2,2,6452624.50,13206944.00,13057217.00,2,1,39119830.00
Classic,2,1,6580367.00,12940115.00,19522073.00,1,1,32684707.00
Classic,2,1,6757528.00,13353769.00,20112891.00,1,1,33678192.00
Classic,2,1,6299429.00,12885197.00,19185970.00,1,1,31786688.00
Classic,2,2,6326618.00,12566566.00,12610645.50,2,1,38150304.00
Classic,2,2,6447779.50,12788577.00,12843092.50,2,1,38605349.00
Classic,2,2,6294988.00,13283001.00,12937763.50,2,1,38485417.00
Classic,2,2,6738568.00,14079172.00,13779518.50,2,1,40502781.00
Classic,2,2,6763754.50,15007015.00,14268530.00,2,1,42129065.00
Classic,2,1,6823809.00,12804083.00,19629402.00,1,1,32605682.00
Classic,2,2,6409158.00,12528110.00,12674066.00,2,1,38018214.00
Classic,2,1,6305231.00,12582599.00,18889077.00,1,1,31674808.00
Classic,2,1,6416457.00,12850406.00,19268581.00,1,1,32177036.00
Classic,2,2,6555750.00,12958405.00,13035566.50,2,1,38966399.00
Classic,2,2,6685773.00,12803936.00,13088807.50,2,1,39487514.00
Classic,2,1,6589539.00,13403347.00,20001474.00,1,1,33380958.00
Classic,2,1,6810453.00,13018025.00,19829561.00,1,1,32795213.00
Classic,2,1,6732907.00,13219681.00,19955296.00,1,1,33457620.00
Classic,2,1,6484365.00,13566939.00,20052792.00,1,1,33434433.00
Classic,2,2,7223470.50,13466242.00,13958506.00,2,1,41582640.00
Classic,2,2,6410077.00,12803532.00,12813061.50,2,1,38432154.00
Classic,2,2,6560796.50,12922010.00,13023145.00,2,1,38800524.00
Classic,2,1,6340775.00,12603482.00,18946029.00,1,1,31694795.00
Classic,2,1,6278278.00,12923474.00,19203106.00,1,1,32163253.00
Classic,2,2,6470363.00,13085813.00,13014562.50,2,1,38673249.00
Classic,2,2,6557602.00,12604490.00,12861097.00,2,1,38481576.00
Classic,2,2,6313820.00,12778533.00,12703908.50,2,1,38162865.00
Classic,2,2,6517598.50,13030276.00,13033794.50,2,1,38952251.00
Classic,2,1,6755315.00,12641952.00,19398623.00,1,1,32058853.00
Classic,2,2,6420367.50,12709038.00,12775516.50,2,1,38479722.00
Classic,2,2,6505106.00,12502964.00,12757829.50,2,1,38600768.00
Classic,2,1,7006767.00,13059896.00,20068228.00,1,1,32746823.00
Classic,2,1,6218215.00,13318212.00,19537845.00,1,1,32829199.00
Classic,2,2,6327248.50,12505007.00,12580353.50,2,1,37676414.00
Classic,2,2,6324481.00,12794596.00,12722582.00,2,1,38216963.00
Classic,2,2,6285998.50,12599418.00,12586432.50,2,1,38124821.00
Classic,2,1,6367281.00,12939349.00,19308129.00,1,1,32084304.00
Classic,2,2,6316971.50,12540750.00,12588421.50,2,1,38137795.00
Classic,2,1,6520648.00,12865862.00,19388112.00,1,1,32084775.00
Classic,2,1,6382363.00,12794523.00,19178180.00,1,1,32031046.00
Classic,2,2,6462338.50,12691650.00,12809102.00,2,1,38592534.00
Classic,2,2,6385144.50,12602060.00,12687071.00,2,1,37988980.00
Classic,2,1,6352864.00,12877655.00,19231700.00,1,1,32185354.00
Classic,2,1,6229186.00,12791328.00,19021523.00,1,1,32019725.00
Classic,2,2,6330462.00,12555095.00,12609074.00,2,1,37770524.00
Classic,2,1,6579396.00,12668844.00,19249639.00,1,1,31838641.00
Classic,2,2,6446720.00,12603504.00,12749585.50,2,1,38367207.00
Classic,2,1,6278202.00,12721441.00,19000858.00,1,1,31871763.00
Classic,2,2,6369389.00,12748653.00,12745130.50,2,1,38167969.00
Classic,2,2,6268802.50,12466022.00,12502632.50,2,1,38046673.00
Classic,2,1,6461924.00,13067752.00,19530965.00,1,1,32574724.00
Classic,2,2,6351394.50,12515743.00,12609896.50,2,1,38234406.00
Classic,2,2,6368442.00,12763096.00,12751010.00,2,1,38125670.00
Classic,2,1,6523671.00,12509104.00,19034195.00,1,1,31614447.00
Classic,2,2,6480077.50,12744116.00,12853218.00,2,1,38748798.00
Classic,2,1,6297924.00,13562405.00,19861571.00,1,1,32574538.00
Classic,2,1,6269882.00,12807141.00,19078076.00,1,1,32243761.00
Classic,2,2,6357390.50,12630383.00,12673300.00,2,1,38093450.00
Classic,2,2,6476346.50,12671880.00,12813264.50,2,1,38346540.00
Classic,2,1,6345870.00,12807315.00,19154559.00,1,1,31791326.00
Classic,2,2,6425571.50,12825436.00,12839458.50,2,1,38291773.00
Classic,2,2,6489648.00,12873572.00,12927322.00,2,1,38565801.00
Classic,2,2,6304438.00,12520537.00,12565562.50,2,1,37950259.00
Classic,2,2,6305437.00,12728797.00,12670735.50,2,1,38045289.00
Classic,2,1,6509485.00,12859458.00,19370583.00,1,1,32094394.00
Classic,2,1,6376678.00,12718648.00,19096712.00,1,1,32165517.00
Classic,2,1,6313243.00,12653168.00,18967494.00,1,1,32048784.00
Classic,2,2,6296009.50,12651575.00,12622606.50,2,1,38000089.00
Classic,2,2,6451901.00,12827839.00,12866767.50,2,1,38478829.00
Classic,2,1,6537281.00,12723921.00,19262904.00,1,1,31889109.00
Classic,2,1,6219476.00,12451972.00,18672339.00,1,1,31147195.00
Classic,2,2,6506533.00,12764820.00,12890265.00,2,1,38543824.00
Classic,2,1,6412504.00,13156416.00,19570445.00,1,1,32768892.00
Classic,2,2,6389340.00,12404392.00,12592494.50,2,1,37814518.00
Classic,2,2,6614821.00,12601763.00,12916668.00,2,1,38593452.00
Classic,2,1,6375099.00,13164742.00,19541469.00,1,1,32468108.00
Classic,2,2,6468895.00,12484665.00,12712300.00,2,1,38100305.00
Classic,2,1,6214725.00,12987680.00,19203544.00,1,1,32089595.00
Classic,6,4,6262869.50,12408594.00,9365475.25,4,1,50047451.00
Classic,6,6,6297853.00,12673202.00,8410525.17,6,1,63283511.00
Classic,6,2,6350777.00,12603352.00,12653546.00,2,1,38134716.00
Classic,6,3,6383907.33,12538817.00,10564438.00,3,1,44650193.00
Classic,6,1,6291580.00,12939658.00,19232695.00,1,1,31972226.00
Classic,6,3,6297394.67,12420066.00,10437941.33,3,1,43972161.00
Classic,6,4,6292158.75,12485914.00,9414259.25,4,1,50415891.00
Classic,6,1,6288479.00,13026644.00,19316195.00,1,1,32283561.00
Classic,6,4,6406154.75,12470627.00,9524415.75,4,1,50791263.00
Classic,6,5,6347776.20,12388873.00,8826111.20,5,1,56684188.00
Classic,6,6,6371802.00,12764630.00,8499825.50,6,1,63600286.00
Classic,6,1,6762486.00,12675083.00,19439053.00,1,1,32231301.00
Classic,6,1,6377022.00,12899016.00,19277656.00,1,1,31919342.00
Classic,6,6,6461727.17,12631386.00,8567533.00,6,1,64208019.00
Classic,6,3,6383764.67,12566660.00,10573565.00,3,1,44338266.00
Classic,6,1,6291635.00,12493673.00,18786641.00,1,1,31565921.00
Classic,6,6,6331150.00,13017732.00,8501222.67,6,1,63778853.00
Classic,6,1,6564428.00,12870241.00,19435853.00,1,1,32132958.00
Classic,6,1,6409843.00,12768755.00,19180100.00,1,1,31757746.00
Classic,6,4,6469678.25,12490907.00,9593047.75,4,1,51068838.00
Classic,6,4,6289698.50,12610475.00,9442845.75,4,1,50274375.00
Classic,6,4,6353706.75,12521989.00,9484954.50,4,1,51698148.00
Classic,6,6,6402110.17,12802827.00,8536414.00,6,1,63798689.00
Classic,6,2,6498771.50,12583143.00,12791274.50,2,1,38348193.00
Classic,6,3,6347375.67,12601144.00,10548544.00,3,1,44412794.00
Classic,6,6,6356760.67,12555570.00,8449850.33,6,1,63527214.00
Classic,6,1,6324999.00,13370195.00,19696366.00,1,1,32747905.00
Classic,6,3,6455888.67,13140063.00,10836808.67,3,1,45114982.00
Classic,6,3,6481071.67,12778822.00,10741493.67,3,1,44918592.00
Classic,6,4,6386342.50,12796060.00,9585975.25,4,1,50924089.00
Classic,6,2,6386135.00,12462437.00,12618533.50,2,1,37861154.00
Classic,6,5,6516803.20,13331009.00,9183844.40,5,1,58602750.00
Classic,6,6,6349984.83,12605039.00,8451276.67,6,1,63306467.00
Classic,6,3,6494182.67,12540899.00,10675302.33,3,1,44883930.00
Classic,6,4,6417582.75,12941672.00,9653681.75,4,1,51195481.00
Classic,6,3,6436657.67,12659485.00,10657268.67,3,1,44696864.00
Classic,6,3,6448473.67,12770196.00,10705990.33,3,1,45109670.00
Classic,6,4,6312663.00,12492219.00,9436364.00,4,1,50350150.00
Classic,6,2,6341855.50,12528555.00,12607169.00,2,1,37769029.00
Classic,6,2,6338627.50,12634869.00,12656784.00,2,1,37955608.00
Classic,6,1,6470135.00,12621176.00,19092913.00,1,1,31840374.00
Classic,6,4,6360558.25,12764304.00,9552384.75,4,1,51047037.00
Classic,6,1,6770497.00,12733696.00,19505847.00,1,1,32460439.00
Classic,6,3,6313249.67,12905521.00,10615721.67,3,1,44534731.00
Classic,6,4,6495066.25,12518457.00,9625559.75,4,1,51116001.00
Classic,6,5,6460589.00,12627330.00,8986811.40,5,1,57788961.00
Classic,6,5,6584949.40,12737764.00,9133135.40,5,1,58750868.00
Classic,6,6,6527817.17,12668851.00,8639952.00,6,1,64593548.00
Classic,6,3,6445405.67,12710682.00,10683136.33,3,1,44801652.00
Classic,6,3,6311751.67,12631146.00,10522711.67,3,1,44225154.00
Classic,6,5,6378756.60,12457381.00,8870937.40,5,1,57099321.00
Classic,6,3,6454969.00,12532358.00,10633100.33,3,1,44773543.00
Classic,6,3,6466748.00,12795376.00,10733069.67,3,1,45328583.00
Classic,6,2,6585778.00,12596728.00,12885129.50,2,1,38662368.00
Classic,6,2,6611078.00,12636942.00,12930657.50,2,1,38902389.00
Classic,6,2,6392543.00,12614920.00,12700960.00,2,1,38201527.00
Classic,6,2,6515572.50,12479797.00,12756390.00,2,1,38173355.00
Classic,6,3,6377347.00,12689350.00,10607660.67,3,1,44556173.00
Classic,6,6,6396847.67,12636891.00,8503668.50,6,1,63753564.00
Classic,6,1,6380432.00,12723174.00,19105499.00,1,1,31826363.00
Classic,6,1,6290665.00,12749839.00,19041849.00,1,1,31975841.00
Classic,6,3,6405054.67,13354774.00,10857345.33,3,1,45695040.00
Classic,6,6,6334335.67,12424982.00,8405619.83,6,1,63584751.00
Classic,6,1,6520244.00,12656883.00,19178982.00,1,1,32116283.00
Classic,6,2,6273952.00,13369172.00,12959118.00,2,1,38853073.00
Classic,6,1,6609259.00,13094977.00,19705400.00,1,1,32373233.00
Classic,6,3,6346705.33,12716135.00,10585807.33,3,1,44297468.00
Classic,6,3,6456347.33,12971818.00,10780982.00,3,1,45062141.00
Classic,6,2,6692118.50,13429280.00,13407804.50,2,1,39469845.00
Classic,6,6,6481340.33,12738310.00,8607210.17,6,1,64403062.00
Classic,6,4,6374840.50,13013315.00,9628712.75,4,1,51334277.00
Classic,6,3,6545972.00,13272208.00,10970958.67,3,1,46039642.00
Classic,6,4,6579304.50,12603313.00,9730637.50,4,1,52282901.00
Classic,6,2,6593166.50,13057972.00,13123266.00,2,1,39355317.00
Classic,6,2,6236358.00,12392111.00,12432861.50,2,1,37626327.00
Classic,6,2,6450490.50,12536996.00,12719826.50,2,1,38392577.00
Classic,6,1,6300139.00,12944123.00,19245234.00,1,1,32187831.00
Classic,6,6,6335310.00,12608322.00,8437127.17,6,1,63467684.00
Classic,6,3,6269293.00,12757227.00,10522232.67,3,1,44528871.00
Classic,6,3,6374126.67,12967693.00,10697279.33,3,1,45190406.00
Classic,6,2,6451420.00,12619276.00,12762019.00,2,1,38383070.00
Classic,6,6,6360034.83,12686776.00,8475108.50,6,1,63533632.00
Classic,6,6,6418857.83,12542825.00,8510035.67,6,1,63867637.00
Classic,6,4,6543139.00,12783306.00,9739676.00,4,1,51760502.00
Classic,6,6,6391382.00,12799599.00,8525123.00,6,1,63812532.00
Classic,6,1,6459293.00,12901482.00,19362255.00,1,1,32109110.00
Classic,6,6,6349346.00,13100980.00,8533387.50,6,1,63935325.00
Classic,6,2,6472993.00,12747868.00,12848320.00,2,1,38442728.00
Classic,6,5,6389000.60,12453301.00,8880314.80,5,1,57329614.00
Classic,6,6,6502622.00,13053074.00,8678843.33,6,1,65259099.00
Classic,6,4,6442428.75,12938953.00,9677796.75,4,1,51461232.00
Classic,6,4,6364799.75,12586651.00,9512037.50,4,1,50919829.00
Classic,6,6,6419036.50,12514638.00,8505568.50,6,1,64025017.00
Classic,6,3,6525615.67,12578539.00,10719379.00,3,1,44926039.00
Classic,6,1,6398021.00,13610570.00,20010235.00,1,1,33188964.00
Classic,6,1,6650046.00,12820480.00,19471986.00,1,1,32754385.00
Classic,6,4,6413264.75,12648808.00,9576301.25,4,1,51204955.00
Classic,6,6,6431050.67,12844065.00,8572214.33,6,1,64286965.00
Classic,6,3,6552779.00,13007775.00,10889984.33,3,1,45489204.00
Classic,6,1,6550563.00,12876977.00,19429157.00,1,1,32085767.00
Classic,8,6,6430482.33,13212232.00,8633226.33,6,1,64809373.00
Classic,8,5,6414978.00,12576115.00,8930913.20,5,1,57361801.00
Classic,8,5,6394338.00,12592625.00,8913541.60,5,1,57489274.00
Classic,8,8,6494141.25,12594163.00,8069092.00,8,1,77147404.00
Classic,8,5,6460163.60,12595766.00,8980120.20,5,1,57905864.00
Classic,8,4,6464880.00,12619154.00,9620361.00,4,1,51321303.00
Classic,8,2,6572342.50,12802151.00,12974591.50,2,1,38765274.00
Classic,8,3,6496251.67,12606495.00,10699404.00,3,1,45298898.00
Classic,8,5,6445445.40,12836499.00,9013366.60,5,1,57986911.00
Classic,8,2,6809792.50,12655681.00,13139037.00,2,1,39411622.00
Classic,8,1,6946788.00,12763215.00,19711432.00,1,1,32292919.00
Classic,8,5,6419776.00,12738606.00,8968190.80,5,1,57946621.00
Classic,8,5,6431267.40,12753971.00,8982627.00,5,1,58208326.00
Classic,8,5,6403142.80,13254386.00,9054536.00,5,1,58163897.00
Classic,8,8,6452207.38,12857707.00,8059934.50,8,1,77752177.00
Classic,8,4,6534445.25,12928408.00,9767371.25,4,1,52729129.00
Classic,8,4,6551231.00,12655949.00,9716069.50,4,1,51544427.00
Classic,8,4,6476059.00,13025738.00,9733497.25,4,1,51957097.00
Classic,8,3,6505024.00,12500263.00,10672453.67,3,1,45184366.00
Classic,8,6,6406865.17,12809811.00,8542464.17,6,1,64108996.00
Classic,8,7,6373388.00,12753388.00,8195776.86,7,1,70110774.00
Classic,8,3,6453932.33,12599967.00,10654881.00,3,1,45134602.00
Classic,8,1,6277518.00,13402978.00,19681577.00,1,1,32586215.00
Classic,8,2,6376218.00,13238519.00,12996366.50,2,1,38980087.00
Classic,8,1,6261329.00,12577246.00,18839669.00,1,1,31520699.00
Classic,8,1,6512157.00,12563214.00,19077143.00,1,1,31757109.00
Classic,8,1,6246881.00,12799419.00,19047581.00,1,1,31885169.00
Classic,8,6,6314383.67,12757511.00,8441089.00,6,1,63888092.00
Classic,8,1,6523244.00,13337017.00,19861813.00,1,1,32675147.00
Classic,8,5,6344387.60,12490404.00,8843097.60,5,1,58095661.00
